province,region,start_year,end_year,digital_finance_mean,carbon_intensity_mean,digital_finance_change,carbon_intensity_change,digital_level,carbon_level,policy_type,policy_suggestion,digital_threshold_median,carbon_threshold_median
河南,中部,2011,2022,235.9712721440965,1.3906396983758018,353.9945349322519,-1.601474443024982,低,低,稳态优化型,保持低碳优势，补齐数字金融服务深度和绿色项目匹配能力。,237.7930107418823,1.4415730669371012
湖南,中部,2011,2022,232.54722966490257,0.8654421795418873,339.26909802507,-0.9119682129353281,低,低,稳态优化型,保持低碳优势，补齐数字金融服务深度和绿色项目匹配能力。,237.7930107418823,1.4415730669371012
云南,西部,2011,2022,224.83562038952292,1.2645417231853886,329.79627370655766,-1.0882035112829374,低,低,稳态优化型,保持低碳优势，补齐数字金融服务深度和绿色项目匹配能力。,237.7930107418823,1.4415730669371012
广西,西部,2011,2022,230.3985367039122,1.2657119602325473,328.1337316476128,-0.6217204945374846,低,低,稳态优化型,保持低碳优势，补齐数字金融服务深度和绿色项目匹配能力。,237.7930107418823,1.4415730669371012
辽宁,东北,2011,2022,239.18529432132118,2.5489139485414496,321.956442665731,-0.9063644946084639,高,高,转型压力型,优先推动数字金融资源向节能改造、产业升级和高耗能行业治理倾斜。,237.7930107418823,1.4415730669371012
山东,东部,2011,2022,246.06013297234765,1.8622833268957784,351.8257911893213,-1.0355987324648606,高,高,转型压力型,优先推动数字金融资源向节能改造、产业升级和高耗能行业治理倾斜。,237.7930107418823,1.4415730669371012
海南,东部,2011,2022,247.0053721614629,1.602444019026958,336.7224214574306,-0.9495706595008007,高,高,转型压力型,优先推动数字金融资源向节能改造、产业升级和高耗能行业治理倾斜。,237.7930107418823,1.4415730669371012
安徽,中部,2011,2022,244.5836749391348,1.4925064354984003,360.25082464031743,-0.8823327346772465,高,高,转型压力型,优先推动数字金融资源向节能改造、产业升级和高耗能行业治理倾斜。,237.7930107418823,1.4415730669371012
陕西,西部,2011,2022,241.2469497661599,2.74639264788104,340.33299469560603,-0.5917815377279454,高,高,转型压力型,优先推动数字金融资源向节能改造、产业升级和高耗能行业治理倾斜。,237.7930107418823,1.4415730669371012
吉林,东北,2011,2022,221.3287818767468,2.0432158748234883,319.1574222751498,-2.0040644864354413,低,高,重点扶持型,加强数字基础设施、信用体系和绿色金融供给，提升低碳转型基础能力。,237.7930107418823,1.4415730669371012
黑龙江,东北,2011,2022,223.4748290436772,2.656321991033043,314.0139965068792,-1.7293935552906357,低,高,重点扶持型,加强数字基础设施、信用体系和绿色金融供给，提升低碳转型基础能力。,237.7930107418823,1.4415730669371012
河北,东部,2011,2022,226.9295628032905,1.9821434845909545,328.2307337110097,-1.5275672475093431,低,高,重点扶持型,加强数字基础设施、信用体系和绿色金融供给，提升低碳转型基础能力。,237.7930107418823,1.4415730669371012
山西,中部,2011,2022,231.10081338849977,9.773398874497799,332.65580546863305,3.6821365633975676,低,高,重点扶持型,加强数字基础设施、信用体系和绿色金融供给，提升低碳转型基础能力。,237.7930107418823,1.4415730669371012
内蒙古,西部,2011,2022,226.35044578407562,6.13527355210523,325.0060119021067,-1.9892049669150307,低,高,重点扶持型,加强数字基础设施、信用体系和绿色金融供给，提升低碳转型基础能力。,237.7930107418823,1.4415730669371012
宁夏,西部,2011,2022,223.31857736715756,7.454309034791503,325.3162260216,-2.5828982548023074,低,高,重点扶持型,加强数字基础设施、信用体系和绿色金融供给，提升低碳转型基础能力。,237.7930107418823,1.4415730669371012
新疆,西部,2011,2022,219.3097097292916,4.205158291343171,322.3189624651427,0.3389505112335405,低,高,重点扶持型,加强数字基础设施、信用体系和绿色金融供给，提升低碳转型基础能力。,237.7930107418823,1.4415730669371012
甘肃,西部,2011,2022,214.8991586207869,2.4901877692763543,326.377811038412,-1.4368655532299148,低,高,重点扶持型,加强数字基础设施、信用体系和绿色金融供给，提升低碳转型基础能力。,237.7930107418823,1.4415730669371012
贵州,西部,2011,2022,215.6849665601052,3.2295800518769866,326.2122565194504,-2.848630338606492,低,高,重点扶持型,加强数字基础设施、信用体系和绿色金融供给，提升低碳转型基础能力。,237.7930107418823,1.4415730669371012
青海,西部,2011,2022,206.92616629382704,2.4989709570117857,311.423234742678,-2.052475953014535,低,高,重点扶持型,加强数字基础设施、信用体系和绿色金融供给，提升低碳转型基础能力。,237.7930107418823,1.4415730669371012
